account_id,customer_id,account_type,balance,txn_id,txn_date,txn_type,txn_amount,txn_channel
403010,301,Loan,703.65,2,2023-08-18,Debit,3.46,Mobile
403010,301,Loan,703.65,1,2024-08-14,Debit,64.75,Branch
403011,301,Loan,-1062.88,4,2024-03-30,Debit,-305.4,Online
403011,301,Loan,-1062.88,5,2024-04-27,Debit,-74.33,Branch
403030,303,Savings,-1302.39,8,2024-04-20,Credit,-44.02,Online
403030,303,Savings,-1302.39,10,2024-09-23,Credit,-32.87,ATM
403040,304,Current,1060.08,13,2024-03-09,Credit,-36.88,Branch
403040,304,Current,1060.08,12,2024-03-16,Debit,116.2,Branch
403040,304,Current,1060.08,16,2024-04-18,Debit,-35.41,Branch
403040,304,Current,1060.08,14,2024-04-19,Crediit,-60.41,ATM
403040,304,Current,1060.08,15,2024-11-15,Credit,141.09,Branch
403041,304,Current,1245.71,17,2024-02-03,Debit,-15,Online
403042,304,Savings,661.06,20,2024-01-10,Debit,999999.99,ATM
403042,304,Savings,661.06,18,2024-02-18,Debit,23.92,App
403042,304,Savings,661.06,21,2024-05-05,Crediit,60.15,Online
403042,304,Savings,661.06,19,2024-07-29,Credit,150.78,ATM
403042,304,Savings,661.06,22,2024-08-30,Credit,0,Online
403050,305,Savings,2399.34,23,2024-05-10,Credit,-119.53,Online
403050,305,Savings,2399.34,25,2024-07-15,Debit,-56.61,Online
403050,305,Savings,2399.34,24,2025-12-25,Debit,118.42,Branch
